Tid,UtslippCO2ekvival,UtslpTilLuft,UtslpKomp,table_id,unit
1990,51348,0,A10,08940,1000_tonnes_CO2_eq
1991,48987,0,A10,08940,1000_tonnes_CO2_eq
1992,47450,0,A10,08940,1000_tonnes_CO2_eq
1993,49379,0,A10,08940,1000_tonnes_CO2_eq
1994,51331,0,A10,08940,1000_tonnes_CO2_eq
1995,51741,0,A10,08940,1000_tonnes_CO2_eq
1996,54642,0,A10,08940,1000_tonnes_CO2_eq
1997,54619,0,A10,08940,1000_tonnes_CO2_eq
1998,54694,0,A10,08940,1000_tonnes_CO2_eq
1999,55698,0,A10,08940,1000_tonnes_CO2_eq
2000,55092,0,A10,08940,1000_tonnes_CO2_eq
2001,56344,0,A10,08940,1000_tonnes_CO2_eq
2002,55034,0,A10,08940,1000_tonnes_CO2_eq
2003,55655,0,A10,08940,1000_tonnes_CO2_eq
2004,56028,0,A10,08940,1000_tonnes_CO2_eq
2005,54897,0,A10,08940,1000_tonnes_CO2_eq
2006,54870,0,A10,08940,1000_tonnes_CO2_eq
2007,56548,0,A10,08940,1000_tonnes_CO2_eq
2008,55026,0,A10,08940,1000_tonnes_CO2_eq
2009,52541,0,A10,08940,1000_tonnes_CO2_eq
2010,54855,0,A10,08940,1000_tonnes_CO2_eq
2011,53848,0,A10,08940,1000_tonnes_CO2_eq
2012,53258,0,A10,08940,1000_tonnes_CO2_eq
2013,53481,0,A10,08940,1000_tonnes_CO2_eq
2014,53878,0,A10,08940,1000_tonnes_CO2_eq
2015,54417,0,A10,08940,1000_tonnes_CO2_eq
2016,53533,0,A10,08940,1000_tonnes_CO2_eq
2017,52838,0,A10,08940,1000_tonnes_CO2_eq
2018,52991,0,A10,08940,1000_tonnes_CO2_eq
2019,51223,0,A10,08940,1000_tonnes_CO2_eq
2020,49499,0,A10,08940,1000_tonnes_CO2_eq
2021,49325,0,A10,08940,1000_tonnes_CO2_eq
2022,48973,0,A10,08940,1000_tonnes_CO2_eq
2023,46654,0,A10,08940,1000_tonnes_CO2_eq
2024,45006,0,A10,08940,1000_tonnes_CO2_eq
